id,date,excercise_list,workout_fun_factor,duration,cal_burnt,mood,activeness
642,2020-06-16,dumbbell_row farmers_walk battle_ropes push_press,2,99,,0,2
643,2020-03-21,dumbbell_fly ,2,102,,0,2
644,2020-09-26,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,5,55,,2,2
645,2020-07-01,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,0,62,,0,2
646,2020-09-03,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,56,,1,1
647,2020-12-28,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,39,,2,2
648,2020-01-04,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,53,,1,0
649,2020-04-06,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,5,94,,0,1
650,2020-11-11,crunches plank russian_twist side_plank bird_dog burpee,1,73,,2,1
651,2020-09-19,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,3,101,,1,0
652,2020-04-10,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,56,,1,1
653,2020-04-07,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,5,111,,0,2
654,2020-06-11,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,0,55,,2,1
655,2020-08-01,yoga,1,30,,1,2
656,2020-11-08,deadlift superman lat_pulldown pull_up ,3,78,,2,2
657,2020-09-13,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,4,84,,2,2
658,2020-11-07,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,102,,0,1
659,2020-10-30,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,103,,2,2
660,2020-07-07,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,5,35,,0,2
661,2020-09-05,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,3,96,,0,1
662,2020-09-16,deadlift superman lat_pulldown pull_up ,4,79,,1,0
663,2020-06-19,deadlift superman lat_pulldown pull_up ,0,41,,1,2
664,2020-04-27,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,5,64,,0,0
665,2020-06-25,dumbbell_row farmers_walk battle_ropes push_press,5,38,,1,2
666,2020-08-26,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,102,,0,0
667,2020-11-13,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,3,36,,1,1
668,2020-12-16,crunches plank russian_twist side_plank bird_dog burpee,1,103,,0,0
669,2020-12-01,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,73,,0,1
670,2020-01-31,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,39,,2,2
671,2020-12-17,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,3,116,,2,0
672,2020-05-04,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,2,116,,2,0
673,2020-10-16,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,2,113,,2,2
674,2020-06-09,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,50,,1,2
675,2020-09-01,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,97,,2,0
676,2020-11-14,yoga,4,109,,2,1
677,2020-09-09,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,81,,0,1
678,2020-04-12,crunches plank russian_twist side_plank bird_dog burpee,3,48,,1,1
679,2020-04-15,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,72,,2,2
680,2020-09-21,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,1,72,,2,0
681,2020-08-21,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,64,,1,1
682,2020-05-23,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,2,82,,0,1
683,2020-05-26,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,0,53,,1,2
684,2020-06-27,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,3,95,,2,1
685,2020-02-22,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,58,,0,2
686,2020-01-11,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,2,110,,0,2
687,2020-11-30,pull_up lat_pulldown push_up dumbbell_row push_press,4,97,,0,2
688,2020-06-09,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,1,106,,2,0
689,2020-04-11,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,4,86,,1,0
690,2020-12-18,crunches plank russian_twist side_plank bird_dog burpee,0,44,,0,1
691,2020-12-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,3,33,,2,2
692,2020-02-28,crunches plank russian_twist side_plank bird_dog burpee,1,57,,2,2
693,2020-09-18,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,5,99,,2,0
694,2020-04-07,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,2,112,,1,1
695,2020-06-26,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,49,,1,0
696,2020-01-12,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,2,52,,1,2
697,2020-04-26,bicep_curl pull_up lat_pulldown dumbbell_row push_press,2,52,,1,2
698,2020-04-05,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,1,76,,0,0
699,2020-10-11,yoga,0,114,,0,1
700,2020-01-24,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,1,52,,2,1
701,2020-05-17,crunches plank russian_twist side_plank bird_dog burpee,3,68,,1,0
702,2020-03-09,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,4,61,,0,2
703,2020-06-04,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,50,,1,1
704,2020-04-19,pull_up lat_pulldown push_up dumbbell_row push_press,1,108,,0,0
705,2020-04-27,crunches plank russian_twist side_plank bird_dog burpee,5,112,,0,1
706,2020-02-15,yoga,4,53,,1,0
707,2020-05-23,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,52,,0,1
708,2020-06-20,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,1,75,,1,2
709,2020-03-22,dumbbell_fly ,3,68,,0,2
710,2020-05-31,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,3,96,,1,0
711,2020-07-08,pull_up lat_pulldown push_up dumbbell_row push_press,5,102,,2,1
712,2020-03-15,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,81,,0,1
713,2020-12-18,crunches plank russian_twist side_plank bird_dog burpee,3,81,,1,0
714,2020-01-20,pull_up lat_pulldown push_up dumbbell_row push_press,5,53,,1,0
715,2020-11-07,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,0,45,,2,1
716,2020-04-12,dumbbell_row farmers_walk battle_ropes push_press,0,68,,2,2
717,2020-08-05,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,58,,2,0
718,2020-03-28,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,5,52,,2,0
719,2020-07-31,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,75,,0,2
720,2020-08-01,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,76,,0,1
721,2020-06-19,deadlift superman lat_pulldown pull_up ,1,100,,1,1
722,2020-08-26,crunches plank russian_twist side_plank bird_dog burpee,2,75,,1,0
723,2020-08-27,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,3,37,,2,1
724,2020-03-05,crunches plank russian_twist side_plank bird_dog burpee,5,49,,0,2
725,2020-11-05,dumbbell_row farmers_walk battle_ropes push_press,1,50,,1,1
726,2020-11-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,48,,2,1
727,2020-05-25,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,45,,1,0
728,2020-10-08,dumbbell_fly ,3,59,,1,1
729,2020-08-27,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,118,,2,0
730,2020-12-09,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,4,35,,1,0
731,2020-08-22,crunches plank russian_twist side_plank bird_dog burpee,3,41,,0,1
732,2020-01-04,yoga,4,71,,2,2
733,2020-05-12,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,0,50,,1,2
734,2020-11-04,pull_up lat_pulldown push_up dumbbell_row push_press,1,114,,2,0
735,2020-02-22,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,48,,2,0
736,2020-08-28,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,108,,0,2
737,2020-05-23,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,1,71,,1,2
738,2020-11-27,crunches plank russian_twist side_plank bird_dog burpee,1,52,,0,1
739,2020-09-17,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,88,,2,0
740,2020-07-12,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,2,65,,1,1
741,2020-07-29,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,68,,1,1
742,2020-01-01,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,94,,1,1
743,2020-10-15,yoga,1,80,,1,2
744,2020-01-13,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,4,37,,1,1
745,2020-08-12,dumbbell_fly ,4,63,,1,2
746,2020-06-10,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,0,84,,0,0
747,2020-08-11,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,0,81,,2,1
748,2020-04-22,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,5,33,,2,2
749,2020-03-13,yoga,4,96,,1,2
750,2020-06-13,deadlift superman lat_pulldown pull_up ,3,48,,1,1
751,2020-02-26,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,0,119,,0,2
752,2020-07-04,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,0,98,,0,1
753,2020-10-17,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,35,,2,1
754,2020-08-31,deadlift superman lat_pulldown pull_up ,3,103,,1,2
755,2020-09-05,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,37,,2,0
756,2020-07-25,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,4,63,,0,2
757,2020-02-18,yoga,2,31,,0,0
758,2020-11-02,dumbbell_row farmers_walk battle_ropes push_press,2,52,,2,2
759,2020-11-12,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,104,,2,1
760,2020-12-29,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,3,92,,0,2
761,2020-12-19,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,88,,0,2
762,2020-06-25,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,4,84,,0,2
763,2020-05-06,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,1,73,,2,0
764,2020-02-23,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,2,37,,0,1
765,2020-08-07,pull_up lat_pulldown push_up dumbbell_row push_press,2,71,,2,0
766,2020-08-17,pull_up lat_pulldown push_up dumbbell_row push_press,2,57,,2,2
767,2020-11-05,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,1,116,,0,1
768,2020-04-26,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,4,82,,2,0
769,2020-06-13,bicep_curl pull_up lat_pulldown dumbbell_row push_press,5,102,,1,2
770,2020-01-18,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,1,60,,2,1
771,2020-09-13,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,0,63,,0,2
772,2020-02-28,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,1,71,,2,1
773,2020-01-21,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,2,119,,0,2
774,2020-09-08,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,2,53,,0,2
775,2020-07-11,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,2,66,,2,1
776,2020-02-05,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,79,,1,2
777,2020-04-01,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,0,52,,1,1
778,2020-08-04,pull_up lat_pulldown push_up dumbbell_row push_press,5,69,,1,1
779,2020-12-05,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,74,,2,0
780,2020-01-12,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,35,,0,1
781,2020-08-29,deadlift superman lat_pulldown pull_up ,4,76,,0,0
782,2020-09-09,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,0,119,,1,2
783,2020-11-03,deadlift superman lat_pulldown pull_up ,2,54,,2,1
784,2020-01-07,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4,112,,0,2
785,2020-03-28,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,94,,1,2
786,2020-09-03,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,90,,0,1
787,2020-05-26,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3,72,,1,0
788,2020-09-16,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,58,,2,0
789,2020-07-03,dumbbell_fly ,4,44,,2,2
790,2020-03-25,bicep_curl pull_up lat_pulldown dumbbell_row push_press,5,107,,1,2
791,2020-11-21,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,0,78,,1,0
792,2020-10-12,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,2,96,,2,0
793,2020-02-16,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,4,83,,0,1
794,2020-10-28,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,42,,1,1
795,2020-03-26,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,93,,0,1
796,2020-02-10,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,0,98,,1,0
797,2020-06-30,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,5,119,,0,0
798,2020-07-30,yoga,4,41,,2,0
799,2020-08-11,pull_up lat_pulldown push_up dumbbell_row push_press,2,33,,0,2
800,2020-10-08,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,4,45,,0,2
801,2020-01-01,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,54,,0,2
802,2020-08-23,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,77,,0,0
803,2020-10-17,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,1,120,,1,2
804,2020-10-17,dumbbell_row farmers_walk battle_ropes push_press,2,75,,0,0
805,2020-12-27,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4,73,,2,2
806,2020-05-23,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,0,108,,1,2
807,2020-04-30,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,5,61,,2,2
808,2020-11-11,dumbbell_row farmers_walk battle_ropes push_press,1,108,,2,0
809,2020-07-17,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,1,50,,0,1
810,2020-09-03,dumbbell_row farmers_walk battle_ropes push_press,5,41,,0,2
811,2020-09-07,yoga,5,101,,1,1
812,2020-09-22,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,1,77,,2,0
813,2020-03-25,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,1,95,,1,0
814,2020-04-30,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,69,,2,1
815,2020-11-16,crunches plank russian_twist side_plank bird_dog burpee,0,116,,2,0
816,2020-11-28,dumbbell_fly ,3,71,,2,0
817,2020-09-10,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,1,35,,0,1
818,2020-08-30,crunches plank russian_twist side_plank bird_dog burpee,0,108,,2,0
819,2020-04-11,dumbbell_fly ,4,105,,1,0
820,2020-08-24,yoga,1,106,,2,0
821,2020-01-15,pull_up lat_pulldown push_up dumbbell_row push_press,4,47,,1,1
822,2020-01-02,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,53,,1,1
823,2020-03-22,pull_up lat_pulldown push_up dumbbell_row push_press,4,110,,2,0
824,2020-03-05,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,41,,0,2
825,2020-05-15,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,52,,2,2
826,2020-03-23,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,3,71,,0,0
827,2020-09-10,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3,86,,0,0
828,2020-02-11,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,0,100,,1,0
829,2020-04-09,deadlift superman lat_pulldown pull_up ,2,114,,1,2
830,2020-11-20,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,5,113,,1,0
831,2020-10-13,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,107,,2,0
832,2020-05-18,crunches plank russian_twist side_plank bird_dog burpee,5,43,,2,1
833,2020-02-12,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,95,,1,2
834,2020-05-04,bicep_curl pull_up lat_pulldown dumbbell_row push_press,2,99,,1,0
835,2020-05-15,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,1,102,,2,2
836,2020-04-06,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,1,35,,2,2
837,2020-04-08,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,4,48,,1,1
838,2020-04-30,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,34,,2,2
839,2020-03-26,bicep_curl pull_up lat_pulldown dumbbell_row push_press,4,40,,1,1
840,2020-04-09,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,68,,2,2
841,2020-11-06,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,0,71,,0,1
842,2020-02-07,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,3,112,,1,0
843,2020-11-02,deadlift superman lat_pulldown pull_up ,0,63,,0,2
844,2020-06-25,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,2,40,,1,0
845,2020-10-04,bicep_curl pull_up lat_pulldown dumbbell_row push_press,4,77,,0,1
846,2020-03-10,dumbbell_fly ,1,105,,1,0
847,2020-04-03,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,84,,0,2
848,2020-03-11,dumbbell_row farmers_walk battle_ropes push_press,2,101,,1,0
849,2020-08-21,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,1,114,,0,0
850,2020-10-31,pull_up lat_pulldown push_up dumbbell_row push_press,2,39,,0,0
851,2020-10-20,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,3,60,,0,1
852,2020-11-05,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,99,,0,0
853,2020-05-15,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,3,30,,0,1
854,2020-09-14,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,3,35,,0,2
855,2020-06-15,dumbbell_fly ,1,41,,0,0
856,2020-02-26,crunches plank russian_twist side_plank bird_dog burpee,5,75,,0,1
857,2020-09-21,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,77,,1,2
858,2020-10-19,bicep_curl pull_up lat_pulldown dumbbell_row push_press,4,74,,2,0
859,2020-10-18,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,0,67,,2,2
860,2020-01-24,dumbbell_fly ,1,97,,1,0
861,2020-11-19,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,0,57,,2,2
862,2020-01-30,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,65,,2,2
863,2020-10-13,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,56,,2,2
864,2020-08-05,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,3,111,,1,2
865,2020-10-05,crunches plank russian_twist side_plank bird_dog burpee,1,97,,2,0
866,2020-08-28,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,49,,0,2
867,2020-01-18,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4,72,,0,2
868,2020-01-14,crunches plank russian_twist side_plank bird_dog burpee,5,67,,2,1
869,2020-09-16,crunches plank russian_twist side_plank bird_dog burpee,2,98,,1,1
870,2020-12-26,bicep_curl pull_up lat_pulldown dumbbell_row push_press,1,44,,2,1
871,2020-08-17,dumbbell_fly ,4,117,,2,0
872,2020-10-26,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,3,91,,2,0
873,2020-09-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,85,,0,0
874,2020-05-03,dumbbell_row farmers_walk battle_ropes push_press,2,68,,0,2
875,2020-04-02,deadlift superman lat_pulldown pull_up ,2,80,,1,2
876,2020-09-20,crunches plank russian_twist side_plank bird_dog burpee,3,65,,0,0
877,2020-11-02,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,101,,0,1
878,2020-09-04,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,48,,2,2
879,2020-11-30,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,4,83,,1,2
880,2020-03-17,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,2,105,,0,2
881,2020-10-26,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,5,49,,2,0
882,2020-06-11,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,3,55,,1,1
883,2020-05-27,crunches plank russian_twist side_plank bird_dog burpee,2,117,,1,1
884,2020-01-25,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,3,118,,0,0
885,2020-08-09,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,76,,0,0
886,2020-07-24,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3,60,,2,0
887,2020-07-12,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,64,,0,1
888,2020-07-03,dumbbell_fly ,0,81,,2,2
889,2020-05-31,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,33,,0,2
890,2020-07-05,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,101,,2,1
891,2020-03-18,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,0,50,,0,0
892,2020-05-29,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,1,114,,1,0
893,2020-01-20,pull_up lat_pulldown push_up dumbbell_row push_press,1,57,,0,2
894,2020-06-26,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,0,49,,2,0
895,2020-04-13,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,3,82,,1,2
896,2020-07-29,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,5,97,,1,1
897,2020-03-23,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,5,106,,2,1
898,2020-09-14,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,0,88,,0,1
899,2020-10-12,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,5,40,,2,1
900,2020-10-11,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,48,,1,2
901,2020-12-08,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,5,85,,0,2
902,2020-06-03,bicep_curl pull_up lat_pulldown dumbbell_row push_press,5,38,,2,0
903,2020-08-30,dumbbell_fly ,1,60,,1,2
904,2020-03-17,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,66,,2,0
905,2020-11-24,pull_up lat_pulldown push_up dumbbell_row push_press,4,43,,2,2
906,2020-07-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,120,,1,0
907,2020-03-04,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,1,67,,1,1
908,2020-02-29,dumbbell_fly ,4,39,,0,2
909,2020-05-05,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,2,47,,2,2
910,2020-01-16,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,2,74,,0,1
911,2020-04-27,dumbbell_fly ,5,117,,2,1
912,2020-07-27,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,0,92,,0,1
913,2020-02-06,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,0,67,,1,1
914,2020-04-08,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,4,100,,0,1
915,2020-05-05,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,83,,1,1
916,2020-11-08,crunches plank russian_twist side_plank bird_dog burpee,4,91,,0,1
917,2020-02-23,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,4,77,,0,1
918,2020-11-12,dumbbell_fly ,4,70,,2,2
919,2020-04-12,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,115,,0,2
920,2020-07-16,deadlift superman lat_pulldown pull_up ,5,65,,1,2
